     479 DEBUG        LTE_TX_SPURIOUS_attach.py                            <module>    97: Band: 		 Bandwidth : (MHz) 		DL Frequency:  (MHz)		RB Allocation: 		 RB Start: 		 float(Power Level)       	 Channel type
     479 DEBUG        LTE_TX_SPURIOUS_attach.py                            <module>    98:  4	 		  :1.4 (MHz) 			: 2110.7 (MHz)				: 1	   			 : 0				  23.0  
     479 DEBUG        LTE_TX_SPURIOUS_attach.py                            <module>    99: ____________________________________________________________________________________________________________________________________
     485 DEBUG        LTE_TX_SPURIOUS_attach.py                            __init__   430: print band: 4
     485 DEBUG        LTE_TX_SPURIOUS_attach.py                            <module>   433: 1957
     485 DEBUG        LTE_TX_SPURIOUS_attach.py                            __init__   430: print band: 4
     485 DEBUG        LTE_TX_SPURIOUS_attach.py                            __init__   430: print band: 4
     485 DEBUG        LTE_TX_SPURIOUS_attach.py                            __init__   430: print band: 4
     485 DEBUG        LTE_TX_SPURIOUS_attach.py                            <module>   437: [5, 24, 49, 99]
     485 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   445: version of module : 39
     485 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   452: detected : 4D123456789
     485 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   463: connected to adb device 4D123456789
     485 DEBUG        LTE_TX_SPURIOUS_attach.py                            __init__   430: print band: 4
     485 DEBUG        LTE_TX_SPURIOUS_attach.py                            <module>   569: ____________________________________________________________________________________________________________________________________
     485 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   619: ------------------------------------------------------------------------------------------------------------------------------------
     485 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   620: ***** Script Setup CMW for LTE VoLTE/IMS call *****
     485 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   621: Date                 : Tue Feb 23 14:20:41 2021
     485 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   622: Computer             : LAPTOP-TL4NCTC4
     501 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   623: Operating System     : NT
     501 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   624: Target OS            : WIN32
     501 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   625: Python Version       : 3.9.0 (TAGS/V3.9.0:9CF6752, OCT  5 2020, 15:34:40) [MSC V.1927 64 BIT (AMD64)]
     501 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   626: Python Script        : .\LTE_TX_SPURIOUS_attach.py
     501 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   627: ------------------------------------------------------------------------------------------------------------------------------------
     501 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   629: ------------------------------------------------------------------------------------------------------------------------------------
     501 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   630: Get working directory
     501 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   632: C:\Test\DVT-Wireless-HCL
     501 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   633: ------------------------------------------------------------------------------------------------------------------------------------
   10508 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   637: ------------------------------------------------------------------------------------------------------------------------------------
   10508 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   638: Create a Socket Class object to remote the CMW
   10508 DEBUG        LTE_TX_SPURIOUS_attach.py                             connect   204: Open SOCKET Connection @: 192.168.0.218:5025
   10523 DEBUG        LTE_TX_SPURIOUS_attach.py                             connect   223: SOCKET Connection Successfully Open with: 192.168.0.218:5025 - SOCKET Handle: [<socket.socket fd=1104, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('192.168.0.217', 50896), raddr=('192.168.0.218', 5025)>]
   10523 INFO         LTE_TX_SPURIOUS_attach.py                            <module>   648: ------------------------------------------------------------------------------------------------------------------------------------
